gene_symbol	trait_category	notes_reference
DMRT3	gait	"Andersson et al. 2012 Nature — the ""gait keeper""; the premature stop codon variant enables alternative gaits (pace, ambling). Direct test of cohort given the Trotter/Pacer focus."
MSTN	performance	"Hill et al. 2010 — myostatin variant associated with sprint vs distance racing in Thoroughbreds; SINE insertion in intron 1."
GDF8	performance	"Alternate symbol for MSTN; both included in case Ensembl uses either."
LCORL	body_size	"Signoret-Genest et al. 2014 / Tetens et al. 2013 — body size / withers height in horses, ECA3."
NCAPG	body_size	"Adjacent to LCORL on ECA3; jointly associated with body size in many breeds."
KIT	coat_color	"Tobiano, sabino, dominant white spotting patterns; classical horse coat-color locus on ECA3."
MITF	coat_color	"Splashed white spotting; ECA16."
ASIP	coat_color	"Agouti; black vs bay distinction; ECA22."
MC1R	coat_color	"Extension; chestnut vs black base color; ECA3."
EDNRB	coat_color	"Overo lethal white foal syndrome; ECA17."
STX17	coat_color	"Gray (progressive depigmentation); ECA25 — strong selection signal in many gray-frequent breeds."
PMEL	coat_color	"Silver dapple coat color; ECA6 (also called SILV)."
SILV	coat_color	"Alternate symbol for PMEL."
TBX3	coat_color	"Dun coat color dilution; ECA8."
SLC36A1	coat_color	"Champagne dilution; ECA1."
SLC45A2	coat_color	"Cream dilution; ECA21."
TYRP1	coat_color	"Pigmentation; classical TYR-family locus."
ZFPM1	performance	"Reported as differentially-selected between sprint and distance horses; ECA22."
MEF2C	muscle_development	"Myocyte Enhancer Factor 2C — master regulator of muscle development; flagged by chr14 Trotter-specific ROH island in this study. ECA14."
CMAH	selection_sweep	"Reported selection sweep in domestic horses (Petersen et al. 2013)."
SLC4A1	performance	"Erythrocyte membrane / heat-tolerance candidate; reported in some equine selection scans."
COX4I2	performance	"Mitochondrial; reported in some equine selection scans."
APOB	selection_sweep	"Reported selection peak in Standardbred / racing horse scans."
EDN3	coat_color	"Pigmentation pathway; some white spotting phenotypes."
LMBR1	limb_development	"Reported ROH-island / selection in some horse breeds."
HMGA2	body_size	"Horse height / body size — reported in pony vs draft breed scans."
PROP1	hypothalamic	"Reported in horse selection scans."
